date,value
2016-06-23,1.5018
2016-06-24,1.3679
2016-06-27,1.3225
2016-06-28,1.3344
2016-06-29,1.3429
2016-06-30,1.3311
2016-07-01,1.3267
2016-07-04,1.3287
2016-07-05,1.3022
2016-07-06,1.2931
2016-07-07,1.2908
2016-07-08,1.2954
2016-07-11,1.2998
2016-07-12,1.3247
2016-07-13,1.3147
2016-07-14,1.3343
2016-07-15,1.3192
2016-07-18,1.3255
2016-07-19,1.3184
2016-07-20,1.3208
2016-07-21,1.3233
2016-07-22,1.3109
2016-07-25,1.314
2016-07-26,1.313
2016-07-27,1.3223
2016-07-28,1.3164
2016-07-29,1.323
2016-08-01,1.3179
2016-08-02,1.3357
2016-08-03,1.3325
2016-08-04,1.3107
2016-08-05,1.3073
2016-08-08,1.304
2016-08-09,1.3003
2016-08-10,1.301
2016-08-11,1.2956
2016-08-12,1.292
2016-08-15,1.288
2016-08-16,1.3046
2016-08-17,1.3042
2016-08-18,1.3168
2016-08-19,1.3075
2016-08-22,1.3137
2016-08-23,1.3198
2016-08-24,1.3232
2016-08-25,1.3192
2016-08-26,1.3137
2016-08-29,1.3106
2016-08-30,1.308
2016-08-31,1.3138
2016-09-01,1.3268
2016-09-02,1.3294
2016-09-05,1.3304
2016-09-06,1.344
2016-09-07,1.3341
2016-09-08,1.3295
2016-09-09,1.3267
2016-09-12,1.3337
2016-09-13,1.3193
2016-09-14,1.3235
2016-09-15,1.3239
2016-09-16,1.3002
2016-09-19,1.303
2016-09-20,1.2988
2016-09-21,1.3032
2016-09-22,1.3078
2016-09-23,1.2966
2016-09-26,1.2975
2016-09-27,1.3023
2016-09-28,1.3019
2016-09-29,1.2968
2016-09-30,1.2972
2016-10-03,1.2842
2016-10-04,1.2728
2016-10-05,1.2749
2016-10-06,1.2616
2016-10-07,1.2434
2016-10-10,1.2362
2016-10-11,1.2123
2016-10-12,1.2204
2016-10-13,1.2254
2016-10-14,1.2191
2016-10-17,1.2183
2016-10-18,1.2298
2016-10-19,1.2285
2016-10-20,1.2254
2016-10-21,1.2234
2016-10-24,1.2238
2016-10-25,1.2188
2016-10-26,1.2247
2016-10-27,1.2164
2016-10-28,1.2185
2016-10-31,1.2242
2016-11-01,1.2243
2016-11-02,1.2304
2016-11-03,1.2461
2016-11-04,1.2517
2016-11-07,1.2396
2016-11-08,1.2379
2016-11-09,1.2406
2016-11-10,1.2555
2016-11-11,1.2596
2016-11-14,1.249
2016-11-15,1.2457
2016-11-16,1.2443
2016-11-17,1.2417
2016-11-18,1.2342
2016-11-21,1.2494
2016-11-22,1.2423
2016-11-23,1.2443
2016-11-24,1.2451
2016-11-25,1.2477
2016-11-28,1.2416
2016-11-29,1.2493
2016-11-30,1.2506
2016-12-01,1.2591
2016-12-02,1.2729
2016-12-05,1.2732
2016-12-06,1.2678
2016-12-07,1.2626
2016-12-08,1.2586
2016-12-09,1.2572
2016-12-12,1.2679
2016-12-13,1.2658
2016-12-14,1.2564
2016-12-15,1.2418
2016-12-16,1.2496
2016-12-19,1.2395
2016-12-20,1.2368
2016-12-21,1.2353
2016-12-22,1.2283
2016-12-23,1.2282
2016-12-26,1.2282
2016-12-27,1.2271
2016-12-28,1.2226
2016-12-29,1.2261
2016-12-30,1.234
2017-01-02,1.2278
2017-01-03,1.2237
2017-01-04,1.2323
2017-01-05,1.2419
2017-01-06,1.2287
2017-01-09,1.2163
2017-01-10,1.2177
2017-01-11,1.2213
2017-01-12,1.2162
2017-01-13,1.2182
2017-01-16,1.2047
2017-01-17,1.2414
2017-01-18,1.2261
2017-01-19,1.2342
2017-01-20,1.2375
2017-01-23,1.2535
2017-01-24,1.252
2017-01-25,1.2634
2017-01-26,1.2597
2017-01-27,1.2555
2017-01-30,1.2486
2017-01-31,1.2579
2017-02-01,1.2659
2017-02-02,1.2527
2017-02-03,1.2484
2017-02-06,1.2469
2017-02-07,1.2509
2017-02-08,1.2541
